ASASSN_id,distance,distance_low,distance_high,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
541166322518,5824,5150,6873,13.871,0.029,13.458,0.046,+0.033,+0.300,-0.327,0.012,0.012,0.012,0.005,0.005,0.005,RRL_ab,NA,RRAB,3.39056,-50.89030,SSS_J001333.7-505325
335008041757,11376,8526,15525,14.598,0.036,14.351,0.061,-0.682,-0.056,-1.357,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,3.39408,-9.83878,CSS_J001334.5-095019
128849749198,1192,1162,1225,12.506,0.022,12.078,0.023,+1.879,+1.934,+1.815,0.246,0.246,0.250,0.106,0.105,0.107,DSCT,RRC,RRC,3.50109,+60.89321,ASASSN-V J001400.26+605335.6
566936313613,7602,6572,8857,99.999,9.999,99.999,9.999,9.999,9.999,9.999,0.010,0.010,0.010,0.004,0.004,0.004,RRL_ab,NA,RRAB,3.50373,-53.00348,SSS_J001400.9-530013
111669271613,3828,3610,4091,12.840,0.022,12.248,0.024,-0.639,-0.507,-0.786,0.564,0.559,0.567,0.242,0.240,0.243,RRL_e,NA,RRC,3.51420,+61.85744,ASASSN-V J001403.41+615126.8
403727790660,4599,3941,5346,13.949,0.031,13.576,0.044,+0.636,+0.971,+0.309,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,3.53722,-9.48486,CSS_J001408.9-092905
532576576230,4181,3922,4454,13.147,0.026,12.812,0.032,+0.018,+0.156,-0.120,0.023,0.023,0.023,0.010,0.010,0.010,RRL_ab,NA,RRAB/BL,3.53971,-72.60981,UX Tuc
584115765412,8985,7667,10787,14.205,0.036,13.926,0.055,-0.574,-0.229,-0.971,0.011,0.011,0.011,0.005,0.005,0.005,RRL_ab,NA,RRAB,3.71840,-55.80155,ASASSN-V J001452.42-554805.6
171799218028,2537,2405,2647,13.458,0.025,13.269,0.042,+1.407,+1.523,+1.315,0.029,0.029,0.029,0.012,0.012,0.012,RRL_e,NA,RRC,3.77104,+22.80014,CSS_J001505.0+224800
549756413393,586,559,620,10.745,0.022,10.424,0.021,+1.882,+1.984,+1.759,0.024,0.024,0.024,0.010,0.010,0.010,DSCT,EW,DSCT|RRC|EC,3.80254,-70.27856,ASAS J001513-7016.7
575525760864,2886,2776,3027,12.352,0.022,12.101,0.026,+0.039,+0.123,-0.065,0.012,0.012,0.012,0.005,0.005,0.005,RRL_ab,NA,RRAB,3.86833,-62.64517,ASAS J001528-6238.8
644245563362,2629,2509,2781,12.105,0.025,11.977,0.028,-0.004,+0.097,-0.126,0.010,0.010,0.010,0.004,0.004,0.004,RRL_ab,NA,RRAB,3.92571,-58.88353,UZ Tuc
335008657726,4040,3760,4347,13.405,0.024,13.227,0.033,+0.373,+0.529,+0.214,0.000,0.000,0.000,0.000,0.000,0.000,RRL_e,NA,RRC,4.00886,-28.56640,ASASSN-V J001602.13-283359.0
584116287542,4497,4077,4959,13.529,0.027,13.233,0.039,+0.252,+0.465,+0.040,0.012,0.012,0.012,0.005,0.005,0.005,RRL_ab,NA,RRAB,4.04860,-39.45607,ASAS J001611-3927.4
420907661107,10894,8155,14339,14.427,0.030,14.186,0.043,-0.759,-0.130,-1.356,0.000,0.000,0.000,0.000,0.000,0.000,RRL_ab,NA,RRAB,4.06102,+1.89780,Loneos-RR 198
601295506262,10783,8661,14265,14.498,0.032,14.292,0.070,-0.678,-0.202,-1.285,0.012,0.012,0.012,0.005,0.005,0.005,RRL_ab,NA,RRAB,4.08941,-54.63932,SSS_J001621.5-543822
85899520836,6201,5040,7727,14.951,0.033,14.792,0.101,+0.917,+1.367,+0.439,0.072,0.072,0.072,0.031,0.031,0.031,RRL_d,NA,RRD,4.10825,+16.47878,CSS_J001625.9+162843
377957596435,1026,1012,1042,11.821,0.023,11.632,0.020,+1.751,+1.781,+1.718,0.014,0.014,0.014,0.006,0.006,0.006,RRL_e,NA,EC|RRC|ESD,4.24038,+18.02917,ASAS J001658+1801.7
627065598625,5891,5327,6547,13.903,0.029,13.709,0.052,+0.042,+0.261,-0.187,0.010,0.010,0.010,0.004,0.004,0.004,RRL_ab,NA,RRAB,4.24192,-60.48406,ASASSN-V J001658.03-602902.6
51540846416,4834,4225,5741,13.375,0.024,13.040,0.035,-0.090,+0.203,-0.463,0.043,0.043,0.043,0.019,0.019,0.019,RRL_e,NA,RRC,4.25404,+34.05378,CSS_J001700.9+340313
309237729370,5456,4661,6396,14.408,0.032,13.878,0.051,+0.710,+1.052,+0.364,0.014,0.014,0.014,0.006,0.006,0.006,RRL_ab,NA,RRAB,4.31535,+1.05458,Loneos-RR 192
